taxon_name,family_common_name,taxon_scientific_name,family_scientific_name,order,population,status
Lewin's Honeyeater,Honeyeaters and Chats,Meliphaga lewinii,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow-spotted Honeyeater,Honeyeaters and Chats,Meliphaga notata,Meliphagidae,Passeriformes,Endemic,Least concern
Graceful Honeyeater,Honeyeaters and Chats,Microptilotis gracilis,Meliphagidae,Passeriformes,Australian,Least concern
White-lined Honeyeater,Honeyeaters and Chats,Microptilotis albilineata,Meliphagidae,Passeriformes,Endemic,Least concern
Spiny-cheeked Honeyeater,Honeyeaters and Chats,Acanthagenys rufogularis,Meliphagidae,Passeriformes,Endemic,Least concern
Regent Honeyeater,Honeyeaters and Chats,Anthochaera phrygia,Meliphagidae,Passeriformes,Endemic,Critically endangered
Bridled Honeyeater,Honeyeaters and Chats,Bolemoreus frenatus,Meliphagidae,Passeriformes,Endemic,Least concern
Eungella Honeyeater,Honeyeaters and Chats,Bolemoreus hindwoodi,Meliphagidae,Passeriformes,Endemic,Least concern
Singing Honeyeater,Honeyeaters and Chats,Gavicalis virescens,Meliphagidae,Passeriformes,Endemic,Least concern
Varied Honeyeater,Honeyeaters and Chats,Gavicalis versicolor,Meliphagidae,Passeriformes,Australian,Least concern
Mangrove Honeyeater,Honeyeaters and Chats,Gavicalis fasciogularis,Meliphagidae,Passeriformes,Endemic,Least concern
Grey-headed Honeyeater,Honeyeaters and Chats,Ptilotula keartlandi,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow-plumed Honeyeater,Honeyeaters and Chats,Ptilotula ornata,Meliphagidae,Passeriformes,Endemic,Least concern
Grey-fronted Honeyeater,Honeyeaters and Chats,Ptilotula plumula,Meliphagidae,Passeriformes,Endemic,Least concern
Fuscous Honeyeater,Honeyeaters and Chats,Ptilotula fusca,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow-tinted Honeyeater,Honeyeaters and Chats,Ptilotula flavescens,Meliphagidae,Passeriformes,Endemic,Least concern
White-plumed Honeyeater,Honeyeaters and Chats,Ptilotula penicillata,Meliphagidae,Passeriformes,Endemic,Least concern
White-fronted Honeyeater,Honeyeaters and Chats,Purnella albifrons,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow-faced Honeyeater,Honeyeaters and Chats,Caligavis chrysops,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow-tufted Honeyeater,Honeyeaters and Chats,Lichenostomus melanops,Meliphagidae,Passeriformes,Endemic,Least concern
Purple-gaped Honeyeater,Honeyeaters and Chats,Lichenostomus cratitius,Meliphagidae,Passeriformes,Endemic,Least concern
Helmeted Friarbird,Honeyeaters and Chats,Philemon buceroides,Meliphagidae,Passeriformes,Australian,Least concern
Silver-crowned Friarbird,Honeyeaters and Chats,Philemon argenticeps,Meliphagidae,Passeriformes,Endemic,Least concern
Noisy Friarbird,Honeyeaters and Chats,Philemon corniculatus,Meliphagidae,Passeriformes,Endemic (breeding only),Least concern
Little Friarbird,Honeyeaters and Chats,Philemon citreogularis,Meliphagidae,Passeriformes,Australian,Least concern
Western Wattlebird,Honeyeaters and Chats,Anthochaera lunulata,Meliphagidae,Passeriformes,Endemic,Least concern
Little Wattlebird,Honeyeaters and Chats,Anthochaera chrysoptera,Meliphagidae,Passeriformes,Endemic,Least concern
Red Wattlebird,Honeyeaters and Chats,Anthochaera carunculata,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow Wattlebird,Honeyeaters and Chats,Anthochaera paradoxa,Meliphagidae,Passeriformes,Endemic,Least concern
Bell Miner,Honeyeaters and Chats,Manorina melanophrys,Meliphagidae,Passeriformes,Endemic,Least concern
Noisy Miner,Honeyeaters and Chats,Manorina melanocephala,Meliphagidae,Passeriformes,Endemic,Least concern
Black-eared Miner,Honeyeaters and Chats,Manorina melanotis,Meliphagidae,Passeriformes,Endemic,Endangered
Yellow-throated Miner,Honeyeaters and Chats,Manorina flavigula,Meliphagidae,Passeriformes,Endemic,Least concern
Gibberbird,Honeyeaters and Chats,Ashbyia lovensis,Meliphagidae,Passeriformes,Endemic,Least concern
Crimson Chat,Honeyeaters and Chats,Epthianura tricolor,Meliphagidae,Passeriformes,Endemic,Least concern
Orange Chat,Honeyeaters and Chats,Epthianura aurifrons,Meliphagidae,Passeriformes,Endemic,Least concern
Yellow Chat,Honeyeaters and Chats,Epthianura crocea,Meliphagidae,Passeriformes,Endemic,Least concern
Alligator Rivers Yellow Chat,Honeyeaters and Chats,Epthianura crocea tunneyi,Meliphagidae,Passeriformes,Endemic,Endangered
White-fronted Chat,Honeyeaters and Chats,Epthianura albifrons,Meliphagidae,Passeriformes,Endemic,Least concern
Grey-crowned Babbler,Australian Babblers,Pomatostomus temporalis,Pomatostomidae,Passeriformes,Australian,Least concern
Hall's Babbler,Australian Babblers,Pomatostomus halli,Pomatostomidae,Passeriformes,Endemic,Least concern
White-browed Babbler,Australian Babblers,Pomatostomus superciliosus,Pomatostomidae,Passeriformes,Endemic,Least concern
Chestnut-crowned Babbler,Australian Babblers,Pomatostomus ruficeps,Pomatostomidae,Passeriformes,Endemic,Least concern
Spotted Quail-thrush,Whipbirds and Wedgebills,Cinclosoma punctatum,Cinclosomatidae,Passeriformes,Endemic,Least concern
Chestnut Quail-thrush,Whipbirds and Wedgebills,Cinclosoma castanotus,Cinclosomatidae,Passeriformes,Endemic,Least concern
Chestnut-breasted Quail-thrush,Whipbirds and Wedgebills,Cinclosoma castaneothorax,Cinclosomatidae,Passeriformes,Endemic,Least concern
Cinnamon Quail-thrush,Whipbirds and Wedgebills,Cinclosoma cinnamomeum,Cinclosomatidae,Passeriformes,Endemic,Least concern
Eastern Whipbird,Whipbirds and Wedgebills,Psophodes olivaceus,Psophodidae,Passeriformes,Endemic,Least concern
Western Whipbird,Whipbirds and Wedgebills,Psophodes nigrogularis,Psophodidae,Passeriformes,Endemic,Least concern
Chirruping Wedgebill,Whipbirds and Wedgebills,Psophodes cristatus,Psophodidae,Passeriformes,Endemic,Least concern
Chiming Wedgebill,Whipbirds and Wedgebills,Psophodes occidentalis,Psophodidae,Passeriformes,Endemic,Least concern
Varied Sittella,Sittellas,Daphoenositta chrysoptera,Neosittidae,Passeriformes,Endemic,Least concern
Ground Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina maxima,Campephagidae,Passeriformes,Endemic,Least concern
Barred Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina lineata,Campephagidae,Passeriformes,Australian,Least concern
Black-faced Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina novaehollandiae,Campephagidae,Passeriformes,Australian,Least concern
White-bellied Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina papuensis,Campephagidae,Passeriformes,Australian,Least concern
Cicadabird,Cuckoo-shrikes and Trillers,Edolisoma tenuirostris,Campephagidae,Passeriformes,Australian,Least concern
White-winged Triller,Cuckoo-shrikes and Trillers,Lalage tricolor,Campephagidae,Passeriformes,Australian,Least concern
Varied Triller,Cuckoo-shrikes and Trillers,Lalage leucomela,Campephagidae,Passeriformes,Australian,Least concern
Crested Shrike-tit,Shriketits,Falcunculus frontatus,Falcunculidae,Passeriformes,Endemic,Least concern
Crested Bellbird,Australo-Papuan Bellbirds,Oreoica gutturalis,Oreoicidae,Passeriformes,Endemic,Least concern
Olive Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala olivacea,Pachycephalidae,Passeriformes,Endemic,Least concern
Red-lored Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala rufogularis,Pachycephalidae,Passeriformes,Endemic,Vulnerable
Gilbert's Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala inornata,Pachycephalidae,Passeriformes,Endemic,Least concern
Grey Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala simplex,Pachycephalidae,Passeriformes,Australian,Least concern
Rufous Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala rufiventris,Pachycephalidae,Passeriformes,Australian,Least concern
White-breasted Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala lanioides,Pachycephalidae,Passeriformes,Endemic,Least concern
Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala pectoralis,Pachycephalidae,Passeriformes,Australian,Least concern
Mangrove Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala melanura,Pachycephalidae,Passeriformes,Australian,Least concern
Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha,Pachycephalidae,Passeriformes,Australian,Least concern
Bower's Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla boweri,Pachycephalidae,Passeriformes,Endemic,Least concern
Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla harmonica,Pachycephalidae,Passeriformes,Australian,Least concern
Sandstone Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla woodwardi,Pachycephalidae,Passeriformes,Endemic,Least concern
Australasian Figbird,Orioles and Figbirds,Sphecotheres vieilloti,Oriolidae,Passeriformes,Australian,Least concern
Olive-backed Oriole,Orioles and Figbirds,Oriolus sagittatus,Oriolidae,Passeriformes,Australian,Least concern
Yellow Oriole,Orioles and Figbirds,Oriolus flavocinctus,Oriolidae,Passeriformes,Australian,Least concern
Masked Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus personatus,Artamidae,Passeriformes,Endemic,Least concern
White-browed Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus superciliosus,Artamidae,Passeriformes,Endemic,Least concern
Dusky Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cyanopterus,Artamidae,Passeriformes,Endemic,Least concern
Black-faced Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cinereus,Artamidae,Passeriformes,Endemic,Least concern
Little Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus minor,Artamidae,Passeriformes,Endemic,Least concern
White-breasted Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus leucorynchus,Artamidae,Passeriformes,Australian,Least concern
,,,,,,
Black Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera fuliginosa,Artamidae,Passeriformes,Endemic,Least concern
Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera graculina,Artamidae,Passeriformes,Endemic,Least concern
Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor,Artamidae,Passeriformes,Endemic,Least concern
Black Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Melloria quoyi,Artamidae,Passeriformes,Australian,Least concern
Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen,Artamidae,Passeriformes,Australian,Least concern
Pied Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus nigrogularis,Artamidae,Passeriformes,Endemic,Least concern
Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus torquatus,Artamidae,Passeriformes,Endemic,Least concern
Black-backed Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus mentalis,Artamidae,Passeriformes,Australian,Least concern
Torresian Crow,Crows and Ravens,Corvus orru,Corvidae,Passeriformes,Australian,Least concern
Little Crow,Crows and Ravens,Corvus bennetti,Corvidae,Passeriformes,Endemic,Least concern
Little Raven,Crows and Ravens,Corvus mellori,Corvidae,Passeriformes,Endemic,Least concern
Forest Raven,Crows and Ravens,Corvus tasmanicus,Corvidae,Passeriformes,Endemic,Least concern
Australian Raven,Crows and Ravens,Corvus coronoides,Corvidae,Passeriformes,Endemic,Least concern
Northern Fantail,Fantails,Rhipidura rufiventris,Rhipiduridae,Passeriformes,Australian,Least concern
Willie Wagtail,Fantails,Rhipidura leucophrys,Rhipiduridae,Passeriformes,Australian,Least concern
Rufous Fantail,Fantails,Rhipidura rufifrons,Rhipiduridae,Passeriformes,Australian,Least concern
Mangrove Grey Fantail,Fantails,Rhipidura phasiana,Rhipiduridae,Passeriformes,Australian,Least concern
Grey Fantail,Fantails,Rhipidura fuliginosa,Rhipiduridae,Passeriformes,Australian,Least concern
Leaden Flycatcher,Monarch and Flycatchers,Myiagra rubecula,Monarchidae,Passeriformes,Australian,Least concern
Broad-billed Flycatcher,Monarch and Flycatchers,Myiagra ruficollis,Monarchidae,Passeriformes,Australian,Least concern
Satin Flycatcher,Monarch and Flycatchers,Myiagra cyanoleuca,Monarchidae,Passeriformes,Endemic (breeding only),Least concern
Shining Flycatcher,Monarch and Flycatchers,Myiagra alecto,Monarchidae,Passeriformes,Australian,Least concern
Restless Flycatcher,Monarch and Flycatchers,Myiagra inquieta,Monarchidae,Passeriformes,Australian,Least concern
Paperbark Flycatcher,,,,,,
Frilled Monarch,Monarch and Flycatchers,Arses telescopthalmus,Monarchidae,Passeriformes,Australian,Least concern
Pied Monarch,Monarch and Flycatchers,Arses kaupi,Monarchidae,Passeriformes,Endemic,Least concern
Magpie-lark,Monarch and Flycatchers,Grallina cyanoleuca,Monarchidae,Passeriformes,Australian,Least concern
Spectacled Monarch,Monarch and Flycatchers,Symposiarchus trivirgatus,Monarchidae,Passeriformes,Australian,Least concern
White-eared Monarch,Monarch and Flycatchers,Carterornis leucotis,Monarchidae,Passeriformes,Endemic,Least concern
Black-winged Monarch,Monarch and Flycatchers,Monarcha frater,Monarchidae,Passeriformes,Australian,Least concern
Black-faced Monarch,Monarch and Flycatchers,Monarcha melanopsis,Monarchidae,Passeriformes,Endemic (breeding only),Least concern
Yellow-breasted Boatbill,Boatbills,Machaerirhynchus flaviventer,Machaerirhynchidae,Passeriformes,Australian,Least concern
White-winged Chough,Chough and Apostlebird,Corcorax melanorhamphos,Corcoracidae,Passeriformes,Endemic,Least concern
Apostlebird,Chough and Apostlebird,Struthidea cinerea,Corcoracidae,Passeriformes,Endemic,Least concern
Spangled Drongo,Drongos,Dicrurus bracteatus,Dicruridae,Passeriformes,Australian,Least concern
Trumpet Manucode,Birds of Paradise,Phonygammus keraudrenii,Paradisaeidae,Passeriformes,Australian,Least concern
Paradise Riflebird,Birds of Paradise,Lophorina paradiseus,Paradisaeidae,Passeriformes,Endemic,Least concern
Victoria's Riflebird,Birds of Paradise,Lophorina victoriae,Paradisaeidae,Passeriformes,Endemic,Least concern
Magnificent Riflebird,Birds of Paradise,Lophorina magnificus,Paradisaeidae,Passeriformes,Australian,Least concern
Yellow-legged Flycatcher,Australian Robins,Kempiella griseoceps,Petroicidae,Passeriformes,Australian,Least concern
Lemon-bellied Flycatcher,Australian Robins,Microeca flavigaster,Petroicidae,Passeriformes,Endemic,Least concern
Jacky Winter,Australian Robins,Microeca fascinans,Petroicidae,Passeriformes,Australian,Least concern
Rose Robin,Australian Robins,Petroica rosea,Petroicidae,Passeriformes,Endemic,Least concern
Pink Robin,Australian Robins,Petroica rodinogaster,Petroicidae,Passeriformes,Endemic,Least concern
Flame Robin,Australian Robins,Petroica phoenicea,Petroicidae,Passeriformes,Endemic,Near threatened
Scarlet Robin,Australian Robins,Petroica multicolor,Petroicidae,Passeriformes,Australian,Least concern
Red-capped Robin,Australian Robins,Petroica goodenovii,Petroicidae,Passeriformes,Endemic,Least concern
Northern Scrub-robin,Australian Robins,Drymodes superciliaris,Petroicidae,Passeriformes,Australian,Least concern
Southern Scrub-robin,Australian Robins,Drymodes brunneopygia,Petroicidae,Passeriformes,Endemic,Least concern
White-browed Robin,Australian Robins,Poecilodryas superciliosa,Petroicidae,Passeriformes,Endemic,Least concern
Buff-sided Robin,Australian Robins,Poecilodryas cerviniventris,Petroicidae,Passeriformes,Endemic,Least concern
Grey-headed Robin,Australian Robins,Heteromyias albispecularis,Petroicidae,Passeriformes,Australian,Least concern
Eastern Yellow Robin,Australian Robins,Eopsaltria australis,Petroicidae,Passeriformes,Endemic,Least concern
Western Yellow Robin,Australian Robins,Eopsaltria griseogularis,Petroicidae,Passeriformes,Endemic,Least concern
White-breasted Robin,Australian Robins,Quoyornis georgianus,Petroicidae,Passeriformes,Endemic,Least concern
White-faced Robin,Australian Robins,Tregellasia leucops,Petroicidae,Passeriformes,Australian,Least concern
Pale-yellow Robin,Australian Robins,Tregellasia capito,Petroicidae,Passeriformes,Endemic,Least concern
Hooded Robin,Australian Robins,Melanodryas cucullata,Petroicidae,Passeriformes,Endemic,Least concern
Dusky Robin,Australian Robins,Melanodryas vittata,Petroicidae,Passeriformes,Endemic,Least concern
Mangrove Robin,Australian Robins,Peneothello pulverulenta,Petroicidae,Passeriformes,Australian,Least concern
Australian Logrunner,Logrunners,Orthonyx temminckii,Orthonychidae,Passeriformes,Endemic,Least concern
Chowchilla,Logrunners,Orthonyx spaldingii,Orthonychidae,Passeriformes,Endemic,Least concern
Australasian Pipit,Pipits and Wagtails,Anthus novaeseelandiae,Motacillidae,Passeriformes,Australian,Least concern
Horsfield's Bushlark,Larks,Mirafra javanica,Alaudidae,Passeriformes,Australian,Least concern
Eurasian Skylark,Larks,Alauda arvensis,Alaudidae,Passeriformes,Introduced,Introduced
Zitting Cisticola,Cisticolas,Cisticola juncidis,Cisticolidae,Passeriformes,Australian,Least concern
Golden-headed Cisticola,Cisticolas,Cisticola exilis,Cisticolidae,Passeriformes,Australian,Least concern
Brown Songlark,Grassbirds,Cincloramphus cruralis,Locustellidae,Passeriformes,Endemic,Least concern
Rufous Songlark,Grassbirds,Cincloramphus mathewsi,Locustellidae,Passeriformes,Endemic,Least concern
Tawny Grassbird,Grassbirds,Cincloramphus timoriensis,Locustellidae,Passeriformes,Australian,Least concern
Little Grassbird,Grassbirds,Poodytes gramineus,Locustellidae,Passeriformes,Australian,Least concern
Spinifexbird,Grassbirds,Poodytes carteri,Locustellidae,Passeriformes,Endemic,Least concern
Great Reed-Warbler,Reed-Warblers,Acrocephalus arundinaceus,Acrocephalidae,Passeriformes,Non-breeding,Least concern
Australian Reed-Warbler,Reed-Warblers,Acrocephalus australis,Acrocephalidae,Passeriformes,Endemic (breeding only),Least concern
Yellow White-eye,True Babblers,Zosterops luteus,Zosteropidae,Passeriformes,Endemic,Least concern
Silvereye,True Babblers,Zosterops lateralis,Zosteropidae,Passeriformes,Australian,Least concern
White-chested White-eye,True Babblers,Zosterops albogularis,Zosteropidae,Passeriformes,Endemic,Critically Endangered (Possibly Extinct)
Slender-billed White-eye,True Babblers,Zosterops tenuirostris,Zosteropidae,Passeriformes,Endemic,Near threatened
White-backed Swallow,Swallows and Martins,Cheramoeca leucosterna,Hirundinidae,Passeriformes,Endemic,Least concern
Asian House Martin,Swallows and Martins,Delichon dasypus,Hirundinidae,Passeriformes,Vagrant,Least concern
Fairy Martin,Swallows and Martins,Petrochelidon ariel,Hirundinidae,Passeriformes,Endemic (breeding only),Least concern
Tree Martin,Swallows and Martins,Petrochelidon nigricans,Hirundinidae,Passeriformes,Endemic (breeding only),Least concern
Red-rumped Swallow,Swallows and Martins,Cecropis daurica,Hirundinidae,Passeriformes,Vagrant,Least concern
Welcome Swallow,Swallows and Martins,Hirundo neoxena,Hirundinidae,Passeriformes,Endemic (breeding only),Least concern
Barn Swallow,Swallows and Martins,Hirundo rustica,Hirundinidae,Passeriformes,Non-breeding,Least concern
Bassian Thrush,Thrushes,Zoothera lunulata,Turdidae,Passeriformes,Endemic,Least concern
Russet-tailed Thrush,Thrushes,Zoothera heinei,Turdidae,Passeriformes,Australian,Least concern
Song Thrush,Thrushes,Turdus philomelos,Turdidae,Passeriformes,Introduced,Introduced
Common Blackbird,Thrushes,Turdus merula,Turdidae,Passeriformes,Introduced,Introduced
Common Starling,Starlings,Sturnus vulgaris,Sturnidae,Passeriformes,Introduced,Introduced
Common Myna,Starlings,Acridotheres tristis,Sturnidae,Passeriformes,Introduced,Introduced
Metallic Starling,Starlings,Aplonis metallica,Sturnidae,Passeriformes,Australian,Least concern
Singing Starling,Starlings,Aplonis cantoroides,Sturnidae,Passeriformes,Australian,Near threatened
Mistletoebird,Flowerpeckers,Dicaeum hirundinaceum,Dicaeidae,Passeriformes,Endemic,Least concern
Red-capped Flowerpecker,Flowerpeckers,Dicaeum geelvinkianum,Dicaeidae,Passeriformes,Australian,Least concern
Olive-backed Sunbird,Sunbirds,Cinnyris jugularis,Nectariniidae,Passeriformes,Australian,Least concern
Nutmeg Mannikin,Weaver Finches,Lonchura punctulata,Estrildidae,Passeriformes,Introduced,Introduced
Yellow-rumped Mannikin,Weaver Finches,Lonchura flaviprymna,Estrildidae,Passeriformes,Endemic,Least concern
Chestnut-breasted Mannikin,Weaver Finches,Lonchura castaneothorax,Estrildidae,Passeriformes,Australian,Least concern
Java Sparrow,Weaver Finches,Lonchura oryzivora,Estrildidae,Passeriformes,Introduced,Introduced
Pictorella Mannikin,Weaver Finches,Heteromunia pectoralis,Estrildidae,Passeriformes,Endemic,Least concern
Beautiful Firetail,Weaver Finches,Stagonopleura bella,Estrildidae,Passeriformes,Endemic,Least concern
Red-eared Firetail,Weaver Finches,Stagonopleura oculata,Estrildidae,Passeriformes,Endemic,Least concern
Diamond Firetail,Weaver Finches,Stagonopleura guttata,Estrildidae,Passeriformes,Endemic,Least concern
Painted Finch,Weaver Finches,Emblema pictum,Estrildidae,Passeriformes,Endemic,Least concern
Red-browed Finch,Weaver Finches,Neochmia temporalis,Estrildidae,Passeriformes,Endemic,Least concern
Crimson Finch,Weaver Finches,Neochmia phaeton,Estrildidae,Passeriformes,Australian,Least concern
Star Finch,Weaver Finches,Neochmia ruficauda,Estrildidae,Passeriformes,Endemic,Least concern
Plum-headed Finch,Weaver Finches,Neochmia modesta,Estrildidae,Passeriformes,Endemic,Least concern
Masked Finch,Weaver Finches,Poephila personata,Estrildidae,Passeriformes,Endemic,Least concern
Long-tailed Finch,Weaver Finches,Poephila acuticauda,Estrildidae,Passeriformes,Endemic,Least concern
Black-throated Finch,Weaver Finches,Poephila cincta,Estrildidae,Passeriformes,Endemic,Least concern
Zebra Finch,Weaver Finches,Taeniopygia guttata,Estrildidae,Passeriformes,Australian,Least concern
Double-barred Finch,Weaver Finches,Taeniopygia bichenovii,Estrildidae,Passeriformes,Endemic,Least concern
Blue-faced Parrot-Finch,Weaver Finches,Erythrura trichroa,Estrildidae,Passeriformes,Australian,Least concern
Gouldian Finch,Weaver Finches,Chloebia gouldiae,Estrildidae,Passeriformes,Endemic,Near threatened
House Sparrow,Weaver Finches,Passer domesticus,Passeridae,Passeriformes,Introduced,Introduced
Eurasian Tree Sparrow,Weaver Finches,Passer montanus,Passeridae,Passeriformes,Introduced,Introduced
Common Greenfinch,Old World Finches,Chloris chloris,Fringillidae,Passeriformes,Introduced,Introduced
European Goldfinch,Old World Finches,Carduelis carduelis,Fringillidae,Passeriformes,Introduced,Introduced
Yellow Wagtail,Pipits and Wagtails,Motacilla flava,Motacillidae,Passeriformes,Non-breeding,Least concern
Grey Wagtail,Pipits and Wagtails,Motacilla cinerea,Motacillidae,Passeriformes,Vagrant,Least concern
White Wagtail,Pipits and Wagtails,Motacilla alba,Motacillidae,Passeriformes,Vagrant,Vagrant
King Island Emu,Emus and Cassowaries,Dromaius ater,Casuariidae,Struthioniformes,"Extinct, Endemic",Extinct
Kangaroo Island Emu,Emus and Cassowaries,Dromaius baudinianus,Casuariidae,Struthioniformes,"Extinct, Endemic",Extinct
White-throated Pigeon,Pigeons and Doves,Columba vitiensis,Columbidae,Columbiformes,Extinct (Australia only),Extinct
New Zealand Pigeon,Pigeons and Doves,Hemiphaga novaeseelandiae,Columbidae,Columbiformes,Extinct (Australia only),Extinct
White Gallinule,"Crakes, Rails and Swamphens",Porphyrio albus,Rallidae,Gruiformes,"Extinct, Endemic",Extinct
Paradise Parrot,"Parrots, Lorikeets and Rosellas",Psephotellus pulcherrimus,Psittaculidae,Psittaciformes,"Extinct, Endemic",Extinct
Lord Howe Gerygone,Thornbills and Gerygones,Gerygone insularis,Acanthizidae,Passeriformes,"Extinct, Endemic",Extinct
Long-tailed Triller,Cuckoo-shrikes and Trillers,Lalage leucopyga,Campephagidae,Passeriformes,Extinct (Australia only),Extinct
Robust White-eye,True Babblers,Zosterops strenuus,Zosteropidae,Passeriformes,"Extinct, Endemic",Extinct
Red Junglefowl,Pheasants and Quail,Gallus gallus,Phasianidae,Galliformes,Introduced,Introduced
Green Junglefowl,Pheasants and Quail,Gallus varius,Phasianidae,Galliformes,Introduced,Introduced
Mute Swan,"Ducks, Geese and Swans",Cygnus olor,Anatidae,Anseriformes,Vagrant (from NZ introduction),Introduced
Canada Goose,"Ducks, Geese and Swans",Branta canadensis,Anatidae,Anseriformes,Vagrant (from NZ introduction),Introduced
Common Chaffinch,Old World Finches,Fringilla coelebs,Fringillidae,Passeriformes,Vagrant (from NZ introduction),Introduced
Common Redpoll,Old World Finches,Acanthis flammea,Fringillidae,Passeriformes,Introduced,Introduced
Yellowhammer,Buntings,Emberiza citrinella,Emberizidae,Passeriformes,Vagrant (from NZ introduction),Introduced
Red-whiskered Bulbul,Bulbuls,Pycnonotus jocosus,Pycnonotidae,Passeriformes,Introduced,Introduced
Christmas Island White-eye,True Babblers,Zosterops natalis,Zosteropidae,Passeriformes,Endemic,Near threatened
Ashy-bellied White-eye,True Babblers,Zosterops citrinella,Zosteropidae,Passeriformes,Australian,Least concern
Gentoo Penguin,Penguins,Pygoscelis papua,Spheniscidae,Sphenisciformes,Australian,Near threatened
Adelie Penguin,Penguins,Pygoscelis adeliae,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Chinstrap Penguin,Penguins,Pygoscelis antarcticus,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Royal Penguin,Penguins,Eudyptes schlegeli,Spheniscidae,Sphenisciformes,Endemic (breeding only),Near threatened
Erect-crested Penguin,Penguins,Eudyptes sclateri,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Snares Penguin,Penguins,Eudyptes robustus,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Magellanic Penguin,Penguins,Spheniscus magellanicus,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Island Thrush,Thrushes,Turdus poliocephalus,Turdidae,Passeriformes,Australian,Near threatened
Black-faced Sheathbill,Sheathbills,Chionis minor,Chionididae,Charadriiformes,Australian,Vulnerable
Norfolk Island Kaka,Kakas and Keas,Nestor productus,Strigopidae,Psittaciformes,"Extinct, Endemic",Extinct
Tasman Starling,Starlings,Aplonis fusca,Sturnidae,Passeriformes,"Extinct, Endemic",Extinct
Paradise Shelduck,"Ducks, Geese and Swans",Tadorna variegata,Anatidae,Anseriformes,Vagrant,Vagrant
Northern Shoveler,"Ducks, Geese and Swans",Spatula clypeata,Anatidae,Anseriformes,Vagrant,Vagrant
Eurasian Wigeon,"Ducks, Geese and Swans",Mareca penelope,Anatidae,Anseriformes,Vagrant,Vagrant
Northern Pintail,"Ducks, Geese and Swans",Anas acuta,Anatidae,Anseriformes,Vagrant,Vagrant
Common Teal,"Ducks, Geese and Swans",Anas crecca,Anatidae,Anseriformes,Vagrant,Vagrant
Little Grebe,Grebes,Tachybaptus ruficollis,Podicipedidae,Podicepiformes,Vagrant,Vagrant
Oriental Turtle Dove,Pigeons and Doves,Streptopelia orientalis,Columbidae,Columbiformes,Vagrant,Vagrant
Red Collared-Dove,Pigeons and Doves,Streptopelia tranquebarica,Columbidae,Columbiformes,Vagrant,Vagrant
Nicobar Pigeon,Pigeons and Doves,Caloenas nicobarica,Columbidae,Columbiformes,Vagrant,Vagrant
Blue-tailed Imperial-Pigeon,Pigeons and Doves,Ducula concinna,Columbidae,Columbiformes,Vagrant,Vagrant
Grey Nightjar,Nightjars,Caprimulgus indicus,Caprimulgidae,Caprimulgiformes,Vagrant,Vagrant
Savanna Nightjar,Nightjars,Caprimulgus affinis,Caprimulgidae,Caprimulgiformes,Vagrant,Vagrant
